1195,こむぎ　［即席めん類］　中華スタイル即席カップめん　非油揚げ　調理後のめん　（スープを残したもの）
1062,こむぎ　［即席めん類］　和風スタイル即席カップめん　油揚げ　乾　（添付調味料等を含むもの）
1204,こむぎ　［即席めん類］　和風スタイル即席カップめん　油揚げ　調理後全体　（添付調味料等を含むもの）
1196,こむぎ　［即席めん類］　和風スタイル即席カップめん　油揚げ　調理後のめん　（スープを残したもの）
1063,こむぎ　［マカロニ・スパゲッティ類］　マカロニ・スパゲッティ　乾
1064,こむぎ　［マカロニ・スパゲッティ類］　マカロニ・スパゲッティ　ゆで
1173,こむぎ　［マカロニ・スパゲッティ類］　マカロニ・スパゲッティ　ソテー
1149,こむぎ　［マカロニ・スパゲッティ類］　生パスタ　生
1065,こむぎ　［ふ類］　生ふ
1066,こむぎ　［ふ類］　焼きふ　釜焼きふ
1067,こむぎ　［ふ類］　焼きふ　板ふ
1068,こむぎ　［ふ類］　焼きふ　車ふ
1177,こむぎ　［ふ類］　油ふ
1070,こむぎ　［その他］　小麦はいが
1071,こむぎ　［その他］　小麦たんぱく　粉末状
1072,こむぎ　［その他］　小麦たんぱく　粒状
1073,こむぎ　［その他］　小麦たんぱく　ペースト状
1178,こむぎ　［その他］　かやきせんべい
1074,こむぎ　［その他］　ぎょうざの皮　生
1075,こむぎ　［その他］　しゅうまいの皮　生
1179,こむぎ　［その他］　春巻きの皮　生
1180,こむぎ　［その他］　春巻きの皮　揚げ
1076,こむぎ　［その他］　ピザ生地
1069,こむぎ　［その他］　ちくわぶ
1077,こむぎ　［その他］　パン粉　生
1078,こむぎ　［その他］　パン粉　半生
1079,こむぎ　［その他］　パン粉　乾燥
1150,こむぎ　［その他］　冷めん　生
1080,こめ　［水稲穀粒］　玄米
1081,こめ　［水稲穀粒］　半つき米
1082,こめ　［水稲穀粒］　七分つき米
1083,こめ　［水稲穀粒］　精白米　うるち米
1151,こめ　［水稲穀粒］　精白米　もち米
1152,こめ　［水稲穀粒］　精白米　インディカ米
1084,こめ　［水稲穀粒］　はいが精米
1153,こめ　［水稲穀粒］　発芽玄米
1181,こめ　［水稲穀粒］　赤米
1182,こめ　［水稲穀粒］　黒米
1085,こめ　［水稲めし］　玄米
1086,こめ　［水稲めし］　半つき米
1087,こめ　［水稲めし］　七分つき米
1168,こめ　［水稲めし］　精白米　インディカ米
1088,こめ　［水稲めし］　精白米　うるち米
1154,こめ　［水稲めし］　精白米　もち米
1089,こめ　［水稲めし］　はいが精米
1155,こめ　［水稲めし］　発芽玄米
1183,こめ　［水稲めし］　赤米
1184,こめ　［水稲めし］　黒米
1185,こめ　［水稲軟めし］　精白米
1090,こめ　［水稲全かゆ］　玄米
1091,こめ　［水稲全かゆ］　半つき米
1092,こめ　［水稲全かゆ］　七分つき米
1093,こめ　［水稲全かゆ］　精白米
1094,こめ　［水稲五分かゆ］　玄米
1095,こめ　［水稲五分かゆ］　半つき米
1096,こめ　［水稲五分かゆ］　七分つき米
1097,こめ　［水稲五分かゆ］　精白米
1098,こめ　［水稲おもゆ］　玄米
1099,こめ　［水稲おもゆ］　半つき米
1100,こめ　［水稲おもゆ］　七分つき米
1101,こめ　［水稲おもゆ］　精白米
1102,こめ　［陸稲穀粒］　玄米
1103,こめ　［陸稲穀粒］　半つき米
1104,こめ　［陸稲穀粒］　七分つき米
1105,こめ　［陸稲穀粒］　精白米
1106,こめ　［陸稲めし］　玄米
1107,こめ　［陸稲めし］　半つき米
1108,こめ　［陸稲めし］　七分つき米
1109,こめ　［陸稲めし］　精白米
1110,こめ　［うるち米製品］　アルファ化米　一般用
1156,こめ　［うるち米製品］　アルファ化米　学校給食用強化品
1111,こめ　［うるち米製品］　おにぎり
1112,こめ　［うるち米製品］　焼きおにぎり
1113,こめ　［うるち米製品］　きりたんぽ
1114,こめ　［うるち米製品］　上新粉
1157,こめ　［うるち米製品］　玄米粉
1158,こめ　［うるち米製品］　米粉
1211,こめ　［うるち米製品］　米粉パン　食パン
1212,こめ　［うるち米製品］　米粉パン　ロールパン
1159,こめ　［うるち米製品］　米粉パン　小麦グルテン不使用のもの
1160,こめ　［うるち米製品］　米粉めん
1115,こめ　［うるち米製品］　ビーフン
1169,こめ　［うるち米製品］　ライスペーパー
1116,こめ　［うるち米製品］　米こうじ
1117,こめ　［もち米製品］　もち
1118,こめ　［もち米製品］　赤飯
1119,こめ　［もち米製品］　あくまき
1120,こめ　［もち米製品］　白玉粉
1121,こめ　［もち米製品］　道明寺粉
1161,こめ　［その他］　米ぬか
1122,そば　そば粉　全層粉
1123,そば　そば粉　内層粉
1124,そば　そば粉　中層粉
1125,そば　そば粉　表層粉
1126,そば　そば米
1127,そば　そば　生
1128,そば　そば　ゆで
1197,そば　そば　半生そば
1129,そば　干しそば　乾
1130,そば　干しそば　ゆで
1131,とうもろこし　玄穀　黄色種
1162,とうもろこし　玄穀　白色種
1132,とうもろこし　コーンミール　黄色種
1163,とうもろこし　コーンミール　白色種
1133,とうもろこし　コーングリッツ　黄色種
1164,とうもろこし　コーングリッツ　白色種
1134,とうもろこし　コーンフラワー　黄色種
1165,とうもろこし　コーンフラワー　白色種
1135,とうもろこし　ジャイアントコーン　フライ　味付け
1136,とうもろこし　ポップコーン
1137,とうもろこし　コーンフレーク
1138,はとむぎ　精白粒
1139,ひえ　精白粒
1140,もろこし　玄穀
1141,もろこし　精白粒
1142,ライむぎ　全粒粉
1143,ライむぎ　ライ麦粉
2068,＜いも類＞　アメリカほどいも　塊根　生
2069,＜いも類＞　アメリカほどいも　塊根　ゆで
2001,＜いも類＞　きくいも　塊茎　生
2041,＜いも類＞　きくいも　塊茎　水煮
2002,＜いも類＞　こんにゃく　精粉
2003,＜いも類＞　こんにゃく　板こんにゃく　精粉こんにゃく
2004,＜いも類＞　こんにゃく　板こんにゃく　生いもこんにゃく
2042,＜いも類＞　こんにゃく　赤こんにゃく
2043,＜いも類＞　こんにゃく　凍みこんにゃく　乾
2044,＜いも類＞　こんにゃく　凍みこんにゃく　ゆで
2005,＜いも類＞　こんにゃく　しらたき
2045,＜いも類＞　（さつまいも類）　さつまいも　塊根　皮つき　生
2046,＜いも類＞　（さつまいも類）　さつまいも　塊根　皮つき　蒸し
2047,＜いも類＞　（さつまいも類）　さつまいも　塊根　皮つき　天ぷら
2006,＜いも類＞　（さつまいも類）　さつまいも　塊根　皮なし　生
2007,＜いも類＞　（さつまいも類）　さつまいも　塊根　皮なし　蒸し
2008,＜いも類＞　（さつまいも類）　さつまいも　塊根　皮なし　焼き
2009,＜いも類＞　（さつまいも類）　さつまいも　蒸し切干
2048,＜いも類＞　（さつまいも類）　むらさきいも　塊根　皮なし　生
2049,＜いも類＞　（さつまいも類）　むらさきいも　塊根　皮なし　蒸し
2010,＜いも類＞　（さといも類）　さといも　球茎　生
2011,＜いも類＞　（さといも類）　さといも　球茎　水煮
2012,＜いも類＞　（さといも類）　さといも　球茎　冷凍
2050,＜いも類＞　（さといも類）　セレベス　球茎　生
2051,＜いも類＞　（さといも類）　セレベス　球茎　水煮
2052,＜いも類＞　（さといも類）　たけのこいも　球茎　生
2053,＜いも類＞　（さといも類）　たけのこいも　球茎　水煮
2013,＜いも類＞　（さといも類）　みずいも　球茎　生
2014,＜いも類＞　（さといも類）　みずいも　球茎　水煮
2015,＜いも類＞　（さといも類）　やつがしら　球茎　生
2016,＜いも類＞　（さといも類）　やつがしら　球茎　水煮
2063,＜いも類＞　じゃがいも　塊茎　皮つき　生
2064,＜いも類＞　じゃがいも　塊茎　皮つき　電子レンジ調理
2065,＜いも類＞　じゃがいも　塊茎　皮つき　フライドポテト　（生を揚げたもの）
2017,＜いも類＞　じゃがいも　塊茎　皮なし　生
2019,＜いも類＞　じゃがいも　塊茎　皮なし　水煮
2018,＜いも類＞　じゃがいも　塊茎　皮なし　蒸し
2066,＜いも類＞　じゃがいも　塊茎　皮なし　電子レンジ調理
2067,＜いも類＞　じゃがいも　塊茎　皮なし　フライドポテト　（生を揚げたもの）
2020,＜いも類＞　じゃがいも　塊茎　皮なし　フライドポテト　（市販冷凍食品を揚げたもの）
2021,＜いも類＞　じゃがいも　乾燥マッシュポテト
2054,＜いも類＞　ヤーコン　塊根　生
2055,＜いも類＞　ヤーコン　塊根　水煮
2022,＜いも類＞　（やまのいも類）　ながいも　いちょういも　塊根　生
2023,＜いも類＞　（やまのいも類）　ながいも　ながいも　塊根　生
2024,＜いも類＞　（やまのいも類）　ながいも　ながいも　塊根　水煮
2025,＜いも類＞　（やまのいも類）　ながいも　やまといも　塊根　生
2026,＜いも類＞　（やまのいも類）　じねんじょ　塊根　生
2027,＜いも類＞　（やまのいも類）　だいじょ　塊根　生
2070,＜でん粉・でん粉製品＞　（でん粉類）　おおうばゆりでん粉
2028,＜でん粉・でん粉製品＞　（でん粉類）　キャッサバでん粉
2029,＜でん粉・でん粉製品＞　（でん粉類）　くずでん粉
2030,＜でん粉・でん粉製品＞　（でん粉類）　米でん粉
2031,＜でん粉・でん粉製品＞　（でん粉類）　小麦でん粉
2032,＜でん粉・でん粉製品＞　（でん粉類）　サゴでん粉
2033,＜でん粉・でん粉製品＞　（でん粉類）　さつまいもでん粉
2034,＜でん粉・でん粉製品＞　（でん粉類）　じゃがいもでん粉
2035,＜でん粉・でん粉製品＞　（でん粉類）　とうもろこしでん粉
2036,＜でん粉・でん粉製品＞　（でん粉製品）　くずきり　乾
2037,＜でん粉・でん粉製品＞　（でん粉製品）　くずきり　ゆで
2056,＜でん粉・でん粉製品＞　（でん粉製品）　ごま豆腐
2038,＜でん粉・でん粉製品＞　（でん粉製品）　タピオカパール　乾
2057,＜でん粉・でん粉製品＞　（でん粉製品）　タピオカパール　ゆで
2058,＜でん粉・でん粉製品＞　（でん粉製品）　でん粉めん　生
2059,＜でん粉・でん粉製品＞　（でん粉製品）　でん粉めん　乾
2060,＜でん粉・でん粉製品＞　（でん粉製品）　でん粉めん　乾　ゆで
2039,＜でん粉・でん粉製品＞　（でん粉製品）　はるさめ　緑豆はるさめ　乾
2061,＜でん粉・でん粉製品＞　（でん粉製品）　はるさめ　緑豆はるさめ　ゆで
2040,＜でん粉・でん粉製品＞　（でん粉製品）　はるさめ　普通はるさめ　乾
2062,＜でん粉・でん粉製品＞　（でん粉製品）　はるさめ　普通はるさめ　ゆで
3001,（砂糖類）　黒砂糖
3030,（砂糖類）　てんさい含蜜糖
3002,（砂糖類）　和三盆糖
3003,（砂糖類）　車糖　上白糖
3004,（砂糖類）　車糖　三温糖
3005,（砂糖類）　ざらめ糖　グラニュー糖
3006,（砂糖類）　ざらめ糖　白ざら糖
3007,（砂糖類）　ざらめ糖　中ざら糖
3008,（砂糖類）　加工糖　角砂糖
3009,（砂糖類）　加工糖　氷砂糖
3010,（砂糖類）　加工糖　コーヒーシュガー
3011,（砂糖類）　加工糖　粉糖
3012,（砂糖類）　液糖　しょ糖型液糖
3013,（砂糖類）　液糖　転化型液糖
3014,（砂糖類）　氷糖みつ
3031,（でん粉糖類）　還元麦芽糖
3032,（でん粉糖類）　還元水あめ
3015,（でん粉糖類）　粉あめ
